ObjectID,Route Location:,Route ID:,Select the statement that best describes the amount and distribution of litter in the street.,Does litter obstruct the street?,Select the statement that best describes the amount and distribution of litter on the sidewalk.,How many large abandoned items are present?,What types of items are present? (select all that apply),Other dumped items:,Does illegal dumping obstruct the street?,How many instances of graffiti are present on private property or on the sidewalk or non-painted curb immediately adjacent to private property?,How many instances of graffiti are present on SF gov property?,How many instances of graffiti are present on other property?,Select the statement that best describes the amount and distribution of broken glass on the street and sidewalk:,How many instances of broken glass are present along the sidewalk and street?,How many instances of feces are present?,How many abandoned syringes are present?,How many used or opened condoms are present?,How many dead animals are present?,Does the route have one or more trash receptacles?,Are any trash receptacles overflowing?,Is sidewalk clearance less than 4 feet wide or 8 feet high at any point?,"If yes, identify the cause (select all that apply)",Other sidewalk obstructions:,Does the sidewalk have any defects that have not been marked for repair?,Does the sidewalk have any marked defects that have not been repaired?,How severe are the pavement defects?,Do you detect any strong unpleasant or offensive odors along the street or sidewalk?,"If yes, is the odor from a sewer or catch basin?",Does the route have one or more transit shelters?,Which of the following issues are present in or on any of the transit shelters along the route?,Is this route predominantly residential or commercial/industrial/mixed use?,CreationDate,x,y,the_geom,SF Find Neighborhoods 2,Analysis Neighborhoods 2,Current Supervisor Districts 2
914,Clement St BETWEEN 15th Ave AND 16th Ave,2318,2,0,2,0,,,,5,5,2,2,1,0,0,0,0,1,0,0,,,1,0,3,0,,0,,1,04/07/2022 07:17:38 PM,-122.474686332502,37.7824881182428,POINT (-122.474686332502 37.7824881182428),5,29,4
1998,Wayland St BETWEEN Girard St AND Brussels St,14838,2,0,2,0,,,,0,0,0,1,,0,0,0,0,0,,0,,,1,0,2,0,,0,,2,07/27/2022 11:40:48 PM,-122.404606587756,37.7260492759029,POINT (-122.404606587756 37.7260492759029),91,25,2
1533,Delano Ave BETWEEN Rudden Ave AND Ocean Ave,4266,3,0,4,5,911,,0,1,1,0,1,,0,0,0,0,0,,0,,,1,0,3,0,,0,,2,06/08/2022 09:02:46 PM,-122.442813821455,37.7238435979599,POINT (-122.442813821455 37.7238435979599),94,28,1
1718,Byxbee St BETWEEN 19th Ave AND Sargent St,9933,4,0,3,0,,,,0,9,0,2,1,0,0,0,0,0,,0,,,1,0,2,0,,0,,2,06/15/2022 09:23:40 PM,-122.469821350672,37.715192525665,POINT (-122.469821350672 37.715192525665),65,24,1
3254,15th Ave BETWEEN Wawona St AND West Portal Ave,542,2,0,3,0,,,,0,0,0,1,,0,0,0,0,0,,1,13,,1,0,3,0,,0,,1,12/14/2022 12:18:34 AM,-122.470883842956,37.7371126179323,POINT (-122.470883842956 37.7371126179323),46,41,8
1799,Anza St BETWEEN 19th Ave AND 20th Ave,4133,2,0,2,0,,,,0,1,0,1,,1,0,0,0,0,,0,,,0,0,,0,,0,,2,06/17/2022 10:58:58 PM,-122.478716700381,37.7784375923399,POINT (-122.478716700381 37.7784375923399),8,29,4
1773,09th Ave BETWEEN End AND California St,12920,5,0,2,0,,,,0,2,0,1,,0,0,0,0,0,,0,,,1,0,3,0,,0,,2,06/17/2022 07:11:37 PM,-122.467855452352,37.7857570017315,POINT (-122.467855452352 37.7857570017315),5,11,4
2349,Hyde St BETWEEN Golden Gate Ave AND Turk St,6669,3,0,2,0,,,,74,39,11,1,,3,0,0,0,1,0,0,,,1,0,2,0,,0,,1,09/16/2022 06:58:45 PM,-122.415599524315,37.7821196487133,POINT (-122.415599524315 37.7821196487133),20,36,10
1395,Grant Ave BETWEEN Post St AND Sutter St,5021,3,0,3,5,7,,0,1,2,6,1,,1,0,0,0,1,0,0,,,1,0,2,0,,0,,1,05/27/2022 08:21:01 PM,-122.405320237266,37.7891680987986,POINT (-122.405320237266 37.7891680987986),19,8,3
199,Meade Ave BETWEEN Le Conte Ave AND Jennings St,9380,2,0,2,0,,,,0,0,0,1,,5,0,0,0,0,,1,13,,1,0,1,0,,0,,,01/31/2022 06:24:19 PM,-122.396617409099,37.7173872138102,POINT (-122.396617409099 37.7173872138102),88,1,9
3877,Maywood Dr BETWEEN Yerba Buena Ave AND Ravenwood Dr,12614,1,,2,1,4,,0,0,0,1,1,,0,0,0,0,0,,1,1213,,1,0,3,0,,0,,2,02/16/2023 10:22:58 PM,-122.461965788328,37.7354160282766,POINT (-122.461965788328 37.7354160282766),69,41,8
2850,San Anselmo Ave BETWEEN San Buenaventura Way AND Monterey Blvd,14248,1,,1,0,,,,0,0,1,2,1,0,0,0,0,0,,0,,,0,0,,0,,0,,2,11/15/2022 07:40:36 PM,-122.46526349116,37.7333582648641,POINT (-122.46526349116 37.7333582648641),116,41,8
3052,Fell St BETWEEN Clayton St AND Cole St,7948,2,0,2,0,,,,6,5,0,2,1,0,0,0,0,0,,0,,,1,0,2,0,,0,,2,12/06/2022 07:13:28 PM,-122.449964942021,37.7724732927404,POINT (-122.449964942021 37.7724732927404),24,12,11
824,Geary Blvd BETWEEN 22nd Ave AND 23rd Ave,659,3,0,4,0,,,,24,7,5,1,,2,0,0,0,0,,0,,,1,0,1,0,,0,,1,03/29/2022 09:50:46 PM,-122.482071907967,37.7802847355891,POINT (-122.482071907967 37.7802847355891),8,29,4
3094,Geary Blvd BETWEEN 19th Ave AND 20th Ave,7362,3,0,3,2,743,,0,29,19,16,4,1,0,0,0,0,1,0,0,,,0,0,,0,,1,5,1,12/07/2022 07:51:27 PM,-122.478848396995,37.7804285405208,POINT (-122.478848396995 37.7804285405208),8,29,4
1316,Columbus Ave BETWEEN Vallejo St AND Green St,5641,2,0,2,0,,,,10,12,12,2,1,0,0,0,0,1,0,0,,,1,0,3,0,,0,,1,05/26/2022 09:04:00 PM,-122.408455150096,37.799098288839,POINT (-122.408455150096 37.799098288839),106,6,3
1988,03rd St BETWEEN Marin St AND Cargo Way,6453,2,0,5,1,3,,0,2,26,0,2,1,1,0,0,0,1,0,0,,,1,0,3,0,,1,612,,07/27/2022 09:59:26 PM,-122.387264775588,37.7475901645468,POINT (-122.387264775588 37.7475901645468),56,,9
774,Selby St BETWEEN Quesada Ave AND Revere Ave,10627,5,1,5,10,6141711,,1,0,0,0,5,40,3,0,0,0,0,,1,5780,Barricades and fences,1,0,3,0,,0,,,03/21/2022 05:02:16 PM,-122.401104003463,37.7383416876372,POINT (-122.401104003463 37.7383416876372),87,1,9
568,Balboa St BETWEEN 38th Ave AND 39th Ave,13062,2,0,2,0,,,,1,11,0,2,1,0,0,0,0,1,0,0,,,0,0,,0,,0,,1,02/15/2022 10:30:06 PM,-122.498933419699,37.7756472242902,POINT (-122.498933419699 37.7756472242902),8,29,4
406,Indiana St BETWEEN 20Th St AND 22Nd St,1790,2,0,2,3,46,,0,0,19,2,3,1,0,0,0,0,0,,0,,,1,0,1,0,,0,,1,02/08/2022 07:52:41 PM,-122.391309068252,37.7590696493057,POINT (-122.391309068252 37.7590696493057),55,26,9
570,Paul Ave BETWEEN Exeter St AND Crane St,12501,2,0,2,0,,,,0,12,2,3,1,0,0,0,0,0,,1,13,,0,0,,1,0,0,,1,02/16/2022 06:29:09 PM,-122.39879446541,37.7231442177118,POINT (-122.39879446541 37.7231442177118),86,1,9
1569,Clay St BETWEEN Laguna St AND Buchanan St,10181,2,0,3,2,3,,0,2,1,2,1,,0,0,0,0,1,0,0,,,1,0,2,0,,0,,1,06/09/2022 06:19:32 PM,-122.43010525452,37.7912390205549,POINT (-122.43010525452 37.7912390205549),102,30,6
4126,Rutland St BETWEEN Wilde Ave AND Tioga Ave,9991,2,0,3,1,3,,0,0,0,0,1,,0,0,0,0,0,,0,,,1,1,2,0,,0,,2,03/02/2023 04:52:43 PM,-122.405459717782,37.7169366349808,POINT (-122.405459717782 37.7169366349808),75,40,9
1705,29th Ave BETWEEN Taraval St AND Ulloa St,2044,2,0,2,1,6,,0,0,2,0,1,,0,0,0,0,0,,0,,,0,0,,0,,0,,2,06/15/2022 08:01:58 PM,-122.486356913195,37.7416496834959,POINT (-122.486356913195 37.7416496834959),40,35,7
180,Lombard St BETWEEN Scott St AND Divisadero St,12977,4,0,4,2,7,Stack unused construction barrier signs,0,24,5,6,3,1,1,1,0,0,1,0,0,,,1,1,2,0,,1,691242,1,01/28/2022 11:01:07 PM,-122.441816218976,37.7990636121416,POINT (-122.441816218976 37.7990636121416),14,13,6
1787,Clement St BETWEEN 17th Ave AND 18th Ave,13671,2,0,2,1,3,,0,0,6,0,1,,1,0,0,0,0,,0,,,1,0,1,0,,0,,1,06/17/2022 09:19:43 PM,-122.476853655567,37.7823882038822,POINT (-122.476853655567 37.7823882038822),5,29,4
1539,Ocean Ave BETWEEN Victoria St AND Manor Dr,10717,2,0,2,1,9,,0,2,23,1,1,,0,0,0,0,1,0,0,,,1,0,2,0,,1,6,1,06/08/2022 09:56:45 PM,-122.464794443021,37.7261789631535,POINT (-122.464794443021 37.7261789631535),67,41,8
962,Van Ness Ave BETWEEN Sacramento St AND Clay St,15840,3,0,3,1,7,,0,41,15,0,3,1,2,0,0,0,1,0,0,,,0,0,,0,,1,29512,1,04/12/2022 07:14:01 PM,-122.42251526292,37.7917497743786,POINT (-122.42251526292 37.7917497743786),105,21,3
3709,Stockton St BETWEEN Clay St AND Washington St,11074,2,0,2,0,,,,19,8,7,2,1,0,0,0,0,0,,0,,,0,0,,0,,0,,1,02/09/2023 09:35:06 PM,-122.407991200795,37.7945004921816,POINT (-122.407991200795 37.7945004921816),104,6,3
1218,Geary Blvd BETWEEN 32nd Ave AND 33rd Ave,7338,3,0,4,1,5,,0,16,7,6,2,1,0,0,0,0,1,0,0,,,1,0,2,0,,0,,1,05/20/2022 07:57:52 PM,-122.492772660293,37.7796588756151,POINT (-122.492772660293 37.7796588756151),8,29,4
1786,Clement St BETWEEN 16th Ave AND 17th Ave,13672,2,0,2,0,,,,2,11,8,1,,1,0,0,0,1,1,0,,,0,0,,0,,0,,1,06/17/2022 09:16:09 PM,-122.475784311833,37.7824365561762,POINT (-122.475784311833 37.7824365561762),5,29,4
2800,Washington St BETWEEN Grant Ave AND Stockton St,15649,3,0,2,1,2,,0,101,33,12,1,,0,0,0,0,1,0,0,,,1,0,2,0,,0,,1,11/09/2022 06:38:09 PM,-122.407277278198,37.7950423321937,POINT (-122.407277278198 37.7950423321937),104,6,3
4271,Grant Ave BETWEEN Bush St AND Pine St,5018,2,0,2,0,,,,70,6,0,2,1,0,0,0,0,0,,0,,,0,0,,0,,0,,1,03/09/2023 08:31:46 PM,-122.405646027473,37.7910327822966,POINT (-122.405646027473 37.7910327822966),104,8,3
2460,Lombard St BETWEEN Franklin St AND Gough St,219,4,0,4,1,6,,0,5,92,1,4,1,3,0,0,0,0,,0,,,1,0,3,0,,0,,1,10/04/2022 05:06:54 PM,-122.427015063417,37.8010532813793,POINT (-122.427015063417 37.8010532813793),17,13,6
83,Liberty St BETWEEN Guerrero St AND Dolores St,13127,2,0,2,0,,,,2,3,0,1,,0,0,0,0,0,,0,,,1,0,3,0,,0,,2,01/22/2022 01:19:46 AM,-122.424584203393,37.7575022379562,POINT (-122.424584203393 37.7575022379562),52,20,5
3581,Taraval St BETWEEN 40th Ave AND 41st Ave,9306,3,0,4,2,6,,0,7,13,5,1,,1,0,0,0,1,1,1,13,,1,0,1,0,,1,59,1,01/31/2023 05:16:31 PM,-122.498725798375,37.7420314232708,POINT (-122.498725798375 37.7420314232708),39,35,7
656,24th St BETWEEN Bryant St AND Potrero St,2542,3,0,2,6,7654,,0,63,101,15,1,,2,0,0,0,1,0,0,,,1,0,2,0,,1,59,1,02/18/2022 11:32:45 PM,-122.407744393162,37.7528849898318,POINT (-122.407744393162 37.7528849898318),53,20,2
1300,18th St BETWEEN Noe St AND Hartford St,12112,2,0,2,0,,,,0,0,0,1,,0,0,0,0,0,,0,,,1,0,2,0,,0,,1,05/26/2022 06:02:27 PM,-122.433361757917,37.7609929684687,POINT (-122.433361757917 37.7609929684687),38,5,5
3959,Quint St BETWEEN Davidson Ave AND Evans Ave,14637,2,0,5,10,143,,0,40,0,0,2,1,0,0,0,0,0,,1,1230,Big rig trailers,0,0,,0,,0,,,02/20/2023 09:48:10 PM,-122.390044055279,37.7443593032381,POINT (-122.390044055279 37.7443593032381),56,1,9
3269,Raymond Ave BETWEEN Rutland St AND Delta St,14554,4,0,4,1,9,,0,0,8,0,5,3,1,0,0,0,0,,1,12,,1,0,2,0,,0,,2,12/15/2022 04:29:32 PM,-122.408125169248,37.7135120599101,POINT (-122.408125169248 37.7135120599101),75,40,9
4152,Tompkins Ave BETWEEN Prentiss St AND Nevada St,16304,3,0,3,0,,,,0,21,0,1,,0,0,0,0,0,,0,,,1,0,3,0,,0,,2,03/02/2023 08:38:56 PM,-122.411928949673,37.7369819318071,POINT (-122.411928949673 37.7369819318071),83,2,2
203,Divisadero St BETWEEN Mcallister St AND Golden Gate Ave,1633,4,0,3,2,95,,0,101,25,22,4,1,3,0,0,0,1,0,0,,,1,0,1,0,,0,,1,01/31/2022 06:58:45 PM,-122.438523465862,37.7782576962094,POINT (-122.438523465862 37.7782576962094),97,39,11
4198,Washington St BETWEEN Powell St AND Mason St,15648,3,0,3,1,0,rolled rug,1,101,37,0,4,1,2,0,0,0,1,0,0,,,1,1,2,0,,0,,2,03/04/2023 02:08:16 AM,-122.410542588678,37.7946306280756,POINT (-122.410542588678 37.7946306280756),16,6,3
2397,Sacramento St BETWEEN Franklin St AND Gough St,9753,2,0,2,0,,,,4,14,1,1,,0,0,0,0,0,,0,,,1,0,1,0,,0,,1,09/23/2022 07:20:24 PM,-122.424981804026,37.7909778690981,POINT (-122.424981804026 37.7909778690981),102,30,6
344,Scott St BETWEEN Mcallister St AND Golden Gate Ave,14048,2,0,2,1,3,,0,6,2,1,2,1,0,0,0,0,0,,0,,,1,0,3,0,,0,,2,02/04/2022 08:41:32 PM,-122.436803846964,37.7784770187789,POINT (-122.436803846964 37.7784770187789),97,39,11
846,Geary Blvd BETWEEN 18th Ave AND 19th Ave,7364,2,0,2,5,7,full rusted paint cans,0,64,19,6,2,1,1,0,0,0,1,0,0,,,1,0,1,0,,0,,1,03/31/2022 08:37:42 PM,-122.477791665607,37.7804788813752,POINT (-122.477791665607 37.7804788813752),5,29,4
2620,Mission St BETWEEN Geneva Ave AND Pope St,6543,3,0,4,1,3,,0,21,101,4,1,,0,0,0,0,1,0,0,,,1,0,2,0,,1,1296,1,10/21/2022 05:20:17 PM,-122.441409514816,37.7159446141493,POINT (-122.441409514816 37.7159446141493),,28,1
4524,Holladay Ave BETWEEN Faith St AND Mayflower St,6767,2,0,2,0,,,,0,0,0,1,,0,0,0,0,0,,1,13,,1,0,1,0,,0,,2,04/11/2023 05:32:23 PM,-122.406792516728,37.7433253624273,POINT (-122.406792516728 37.7433253624273),83,2,2
319,47th Ave BETWEEN Irving St AND Judah St,5225,2,0,2,1,3,,0,2,0,0,2,1,4,0,0,0,0,,0,,,0,0,,0,,0,,2,02/03/2022 10:01:56 PM,-122.507077927849,37.7613122688961,POINT (-122.507077927849 37.7613122688961),39,35,7
371,Mission St BETWEEN 18th St AND 19th St,178,5,0,4,45,371151012,,0,101,101,1,1,,1,0,0,0,1,0,0,,,1,0,2,0,,1,65,1,02/05/2022 12:50:32 AM,-122.419295868028,37.7610405485837,POINT (-122.419295868028 37.7610405485837),53,20,2
3227,Ocean Ave BETWEEN Lee Ave AND Plymouth Ave West,985,3,0,3,0,,,,1,6,2,1,,9,0,0,0,1,0,0,,,1,0,3,0,,0,,1,12/13/2022 08:38:05 PM,-122.455307525748,37.7237370716665,POINT (-122.455307525748 37.7237370716665),71,24,8
3793,Broadway BETWEEN Montgomery St AND Kearny St,13456,3,0,3,0,,,,65,20,0,3,1,0,0,0,0,1,0,0,,,1,0,3,0,,1,5,1,02/15/2023 12:18:37 AM,-122.404668045098,37.7981199664478,POINT (-122.404668045098 37.7981199664478),106,23,3
2143,Bay Shore Blvd BETWEEN San Bruno Ave AND Leland Ave,3206,4,0,4,2,3,,0,23,17,4,3,2,3,0,0,0,1,0,0,,,1,1,3,0,,1,5,1,08/12/2022 08:55:34 PM,-122.4031230012,37.711726670435,POINT (-122.4031230012 37.711726670435),89,1,9
4367,De Long St BETWEEN Wilson St AND Flournoy St,2676,2,0,3,0,,,,0,0,0,5,2,0,0,0,0,0,,0,,,1,0,2,0,,0,,2,03/17/2023 06:18:16 PM,-122.462545169347,37.709657247545,POINT (-122.462545169347 37.709657247545),66,28,1
3245,Mission St BETWEEN France Ave AND Italy Ave,2334,3,0,3,4,11123,hand cart,0,101,35,6,4,2,0,0,0,0,0,,0,,,1,0,2,0,,1,9,1,12/13/2022 09:51:26 PM,-122.438885264139,37.7192272337341,POINT (-122.438885264139 37.7192272337341),90,7,1
1849,Minna St BETWEEN 05th St AND 06th St,7577,2,0,2,0,,,,26,7,2,1,,1,0,0,0,0,,0,,,1,0,3,0,,0,,1,07/20/2022 08:45:32 PM,-122.407059288519,37.7814207147181,POINT (-122.407059288519 37.7814207147181),32,34,10
2837,09th St BETWEEN Mission St AND Howard St,13019,4,0,4,3,634,,0,6,89,41,5,5,0,0,0,0,0,,1,13,,1,0,2,0,,0,,1,11/15/2022 04:57:38 PM,-122.413936049224,37.7756111385127,POINT (-122.413936049224 37.7756111385127),32,34,10
2447,03rd St BETWEEN Mariposa St AND 18th St,6548,2,0,3,0,,,,2,17,10,1,,1,0,0,0,1,0,0,,,1,0,1,0,,1,1,1,10/03/2022 09:54:21 PM,-122.388732369437,37.7636888088002,POINT (-122.388732369437 37.7636888088002),55,26,9
1967,Folsom St BETWEEN 08th St AND 09th St,4348,3,0,4,0,,,,33,20,12,2,1,2,0,0,0,1,0,0,,,1,0,2,0,,1,12,1,07/27/2022 07:27:27 PM,-122.410849664283,37.7743855166785,POINT (-122.410849664283 37.7743855166785),32,34,10
1851,05th St BETWEEN Mission St AND Howard St,1260,4,0,4,0,,,,73,9,19,1,,0,0,0,0,1,0,0,,,0,0,,0,,0,,1,07/20/2022 09:17:33 PM,-122.40571892486,37.7821210395643,POINT (-122.40571892486 37.7821210395643),32,34,10
1018,Mission Bay Dr BETWEEN Owens St AND Berry St Extension,13311,2,0,4,3,37,,0,10,99,10,2,1,1,0,0,0,1,0,0,,,0,0,,0,,0,,1,04/19/2022 08:43:23 PM,-122.397177105335,37.7699717698918,POINT (-122.397177105335 37.7699717698918),34,4,10
2215,Jackson St BETWEEN Grant Ave AND Stockton St,3436,3,0,3,6,3,,0,67,8,50,1,,0,0,0,0,1,1,1,4,,1,0,2,0,,0,,1,08/20/2022 12:27:34 AM,-122.407465995374,37.795929177609,POINT (-122.407465995374 37.795929177609),104,6,3
1552,02nd St BETWEEN Howard St AND Folsom St,4590,3,0,3,0,,,,14,7,9,1,,4,0,0,0,1,0,0,,,1,0,3,0,,0,,1,06/09/2022 12:26:31 AM,-122.397494278004,37.7861654902747,POINT (-122.397494278004 37.7861654902747),32,8,10
1648,16th St BETWEEN Wisconsin St AND Carolina St,12231,3,0,3,0,,,,1,28,23,3,1,2,0,0,0,0,,0,,,0,0,,0,,1,25,1,06/11/2022 01:08:37 AM,-122.400271214889,37.7662253158472,POINT (-122.400271214889 37.7662253158472),54,4,9
1714,Randolph St BETWEEN Chester Ave AND 19th Ave,14567,3,0,2,0,,,,0,21,1,1,,1,0,0,0,0,,0,,,0,0,,0,,0,,2,06/15/2022 08:58:51 PM,-122.471555151273,37.7151114443036,POINT (-122.471555151273 37.7151114443036),65,24,1
1349,Taraval St BETWEEN 28th Ave AND 29th Ave,9071,3,0,3,1,4,,0,0,16,5,1,,0,0,0,0,0,,0,,,1,0,1,0,,0,,1,05/27/2022 03:21:26 PM,-122.485884898819,37.7426073238892,POINT (-122.485884898819 37.7426073238892),40,35,7
1031,Prague St BETWEEN Rolph St AND Naylor St,14725,4,0,3,0,,,,0,0,0,1,,0,0,0,0,0,,1,13,,1,0,1,0,,0,,2,04/20/2022 05:36:08 PM,-122.433079774953,37.7112465548334,POINT (-122.433079774953 37.7112465548334),58,7,1
2142,Tocoloma Ave BETWEEN Blanken Ave AND Lathrop Ave,16323,3,0,4,0,,,,0,1,0,1,,1,0,0,0,0,,1,1213,,1,0,3,0,,0,,2,08/12/2022 08:33:19 PM,-122.398396607859,37.7109346602739,POINT (-122.398396607859 37.7109346602739),89,1,9
2190,Mendell St BETWEEN Oakdale Ave AND 03rd St,12575,1,,2,0,,,,0,0,0,1,,0,0,0,0,0,,0,,,0,0,,0,,0,,1,08/16/2022 10:11:07 PM,-122.39063678706,37.7342927570029,POINT (-122.39063678706 37.7342927570029),86,1,9
2969,Van Ness Ave BETWEEN Pacific Ave AND Broadway,15826,3,0,4,0,,,,19,5,9,3,3,13,0,0,0,0,,0,,,0,0,,0,,0,,1,11/30/2022 07:58:50 PM,-122.423217553233,37.7952901233285,POINT (-122.423217553233 37.7952901233285),105,32,3
1347,Taraval St BETWEEN 30th Ave AND 31st Ave,11464,2,0,2,1,5,,0,5,10,7,2,1,0,0,0,0,0,,0,,,1,0,2,0,,0,,1,05/27/2022 03:21:25 PM,-122.488025072101,37.742513162128,POINT (-122.488025072101 37.742513162128),40,35,7
3505,North Point St BETWEEN Jones St AND Columbus Ave,118,3,0,3,0,,,,0,3,0,1,,0,0,0,0,1,0,0,,,1,0,1,0,,1,56,1,01/23/2023 11:07:24 PM,-122.417728969017,37.8060593092206,POINT (-122.417728969017 37.8060593092206),99,23,3
4294,25th St BETWEEN Douglass St AND Hoffman Ave,2375,2,0,2,1,6,,0,0,2,1,2,1,0,0,0,0,1,0,0,,,1,0,1,0,,0,,2,03/10/2023 10:38:40 PM,-122.439389298065,37.749365428736,POINT (-122.439389298065 37.749365428736),51,22,5
4311,Huron Ave BETWEEN Naglee Ave AND Whipple Ave,4585,2,0,2,0,,,,0,2,0,1,,0,0,0,0,0,,0,,,1,0,2,0,,0,,2,03/15/2023 04:50:14 PM,-122.448762125704,37.7126964497905,POINT (-122.448762125704 37.7126964497905),66,28,1
4671,Fell St BETWEEN Ashbury St AND Clayton St,7989,2,0,2,0,,,,1,3,1,1,,0,0,0,0,1,0,0,,,1,0,1,0,,0,,2,04/25/2023 05:09:14 PM,-122.448320211178,37.7726846881997,POINT (-122.448320211178 37.7726846881997),24,18,11
841,Geary Blvd BETWEEN 03rd Ave AND 04th Ave,3749,4,0,3,0,,,,54,2,8,3,1,1,0,0,0,1,0,0,,,1,0,2,0,,1,59122,1,03/31/2022 08:06:56 PM,-122.461609724896,37.7810780536926,POINT (-122.461609724896 37.7810780536926),5,11,4
1762,30th Ave BETWEEN Judah St AND Kirkham St,1995,2,0,2,0,,,,2,3,2,1,,1,0,0,0,0,,0,,,1,0,1,0,,0,,2,06/16/2022 09:19:57 PM,-122.488726816238,37.760251761674,POINT (-122.488726816238 37.760251761674),39,35,7
1961,Mission St BETWEEN 09th St AND 10th St,8405,3,0,3,0,,,,15,12,14,4,4,4,0,0,0,1,0,0,,,0,0,,0,,1,12569,1,07/27/2022 06:36:56 PM,-122.415319421524,37.7757535402642,POINT (-122.415319421524 37.7757535402642),32,34,10
1333,Columbus Ave BETWEEN Lombard St AND Taylor St,5179,4,0,4,0,,,,3,26,85,2,1,7,0,0,0,1,0,0,,,1,0,2,0,,0,,1,05/26/2022 11:03:14 PM,-122.414310981769,37.8031477114441,POINT (-122.414310981769 37.8031477114441),107,32,3
2172,03rd St BETWEEN Williams Ave AND Lane St,6300,2,0,3,0,,,,21,2,0,2,3,0,0,0,0,1,0,0,,,1,0,2,0,,1,6912,1,08/16/2022 05:42:39 PM,-122.392843518318,37.728902005474,POINT (-122.392843518318 37.728902005474),86,1,9
